Local;Votos;Latitude;Longitude
ASSOCIAÇÃO ATLÉTICA BANCO DO BRASIL (AABB);18;-32.23345;-53.08813
CENTRO DE CULTURA BASÍLIO CONCEIÇÃO;35;-32.23268;-53.08419
CLUBE CAIXEIRAL;41;-32.23793;-53.08346
COMUNIDADE CATÓLICA NOSSA SENHORA DA PAZ - BARRACÃO;50;-32.23882;-53.07525
CTG TROPEIROS DA QUERÊNCIA;44;-32.24228;-53.07375
CTG VAQUEANOS DO SUL;7;-32.04795;-52.9883
EEEF CÂNDIDA SILVEIRA HAUBMAN;4;-32.04851;-52.98875
EEEF DR. DIONÍSIO DE MAGALHÃES;42;-32.24018;-53.0767
EEEF MARIA DA SILVA SOARES - ESCOLA ROTARY;22;-32.24449;-53.07495
EEEF MINISTRO FRANCISCO BROCHADO DA ROCHA;44;-32.23202;-53.07983
EEEF SANTA ISABEL;74;-32.11701;-52.59759
EEEM VINTE DE SETEMBRO;62;-32.23512;-53.08246
EMATER - ARROIO GRANDE;35;-32.23873;-53.08565
EMEF 11 DE SETEMBRO - 1. CONQUISTA;12;-32.12852;-53.08293
EMEF PRESIDENTE JOÃO GOULART;37;-32.2316;-53.07521
EMEF PROFESSOR ARLINDO MARTINS;6;-32.1207;-52.81814
EMEF PROFESSORA NEIR HORNER DA ROSA;54;-32.24581;-53.0888
EMEF VISCONDE DE MAUÁ;12;-32.38475;-52.87941
EMEI GOVERNADOR LEONEL DE MOURA BRIZOLA;93;-32.23483;-53.07267
ESCOLA PARTICULAR CONSTRUIR O SABER;9;-32.23645;-53.0887
INST EST DE EDUCAÇÃO AIMONE SOARES CARRICONDE;58;-32.2318;-53.08525
LIGA OPERÁRIA;5;-32.23692;-53.08476
SALÃO PAROQUIAL NOSSA SENHORA DA GRAÇA;25;-32.23883;-53.08693
SINDICADO DOS SERVIDORES MUNICIPAIS DE ARROIO GRANDE - SSMAG;32;-32.23808;-53.08551
SINDICATO DOS TRABALHADORES RURAIS;10;-32.23707;-53.08145
