Local;Votos;Latitude;Longitude
ASSOCIAÇÃO DA COMUNIDADE DE SANGA FUNDA;16;-29.85564;-52.94731
ASSOCIAÇÃO DOS MORADORES DA COMUNIDADE DE PERTILE;9;-29.91426;-53.06171
ASSOCIAÇÃO DOS MORADORES DA COMUNIDADE VILA LOBOS;3;-30.38025;-52.88934
ASSOCIAÇÃO DOS MORADORES DE ENFORCADOS;7;-29.94242;-52.94851
ASSOCIAÇÃO DOS MORADORES DO IRAPUÁ;0;-30.07541;-52.9998
C.T.G.TROPEIROS DA LEALDADE;5;-30.03263;-52.89828
CAPELA SANTA ANA (ANTIGA ESC.MUN. DEODORO DA FONSECA);0;-30.3226;-52.92412
CASA DA CRIANÇA - SAGRADO CORAÇÃO DE JESUS;16;-30.04757;-52.88504
CENTRO DA COMUNIDADE DO BAIRRO COHAB;2;-30.03051;-52.92374
COLÉGIO MARISTA ROQUE GONÇALVES;19;-30.04806;-52.89324
COLÉGIO SINODAL BARÃO DO RIO BRANCO;4;-30.03992;-52.89414
COLÉGIO TOTEM;21;-30.04273;-52.89951
EE TÉCNICA NOSSA SENHORA DA CONCEIÇÃO (PATRONATO);40;-29.88277;-53.00497
EEEB BORGES DE MEDEIROS;17;-30.03377;-52.90578
EEEF ANGELINA SALZANO VIEIRA DA CUNHA;15;-30.05304;-52.90648
EEEF ANTÔNIO VICENTE DA FONTOURA;12;-30.04813;-52.88945
EEEF BAIRRO CARVALHO;55;-30.04656;-52.8818
EEEF CÂNDIDA FORTES BRANDÃO;13;-30.03631;-52.90557
EEEF DR. DAVID FONTOURA DE BARCELOS;24;-30.04109;-52.88285
EEEF JUVÊNCIO SOARES;6;-30.03261;-52.89529
EEEF PROFESSORA MARIETA RIBEIRO DE ALMEIDA;26;-30.00495;-52.91769
EEEF RIO JACUÍ;11;-30.04407;-52.89749
EEEF ZILAH DA GAMA MOR;6;-29.99748;-52.98608
EEEM CEL. CIRO CARVALHO DE ABREU;28;-30.01806;-52.91438
EEEM DIVA COSTA FACHIN;37;-30.02261;-52.9048
EEEM DR. LIBERATO SALZANO VIEIRA DA CUNHA;20;-30.03375;-52.88731
EEEM VIRGILINO JAYME ZINN - CIEP;11;-30.00506;-52.90293
EEEM VITAL BRASIL;21;-30.0277;-52.90965
EMEF ALARICO RIBEIRO;21;-30.03701;-52.86898
EMEF ATALIBA BRUM;0;-29.9041;-52.74309
EMEF BALTAZAR DE BEM;49;-30.00573;-52.90866
EMEF BERNARDO ALBERTO KASPER;5;-29.82207;-53.04171
EMEF DINAH NÉRI PEREIRA;30;-30.02577;-52.92004
EMEF DR. GETÚLIO VARGAS;13;-30.022;-52.91155
EMEF DR. HONORATO DE SOUZA SANTOS;5;-30.00839;-52.94516
EMEF EMILIA VIEIRA DA CUNHA;5;-30.08377;-52.76399
EMEF FRANCISCO DE SOUZA MACHADO;3;-30.14107;-53.15963
EMEF IMPERATRIZ LEOPOLDINA;13;-29.8697;-53.09108
EMEF JENNY FIGUEIREDO VIEIRA DA CUNHA;25;-29.99311;-52.89516
EMEF JOSÉ DE ANCHIETA;1;-30.40019;-53.23046
EMEF MANOEL CARVALHO PORTELA;32;-30.01433;-52.90641
EMEF MARIO GODOY ILHA;3;-30.01216;-52.88947
EMEF MILTON DA CRUZ;11;-30.03554;-52.91659
EMEF NOSSA SENHORA DE FÁTIMA;1;-30.40003;-52.93194
EMEF NOSSA SENHORA MEDIANEIRA;0;-30.45462;-52.95785
EMEF PIO XII;20;-30.34118;-52.75768
EMEF SAGRADO CORAÇÃO DE JESUS;5;-30.25584;-52.80212
EMEF TAUFIK GERMANO;61;-29.97756;-52.92974
ESCOLA DA BARRAGEM DO CAPANÉ (EEEF DINAH NÉRI PEREIRA);3;-30.22893;-52.95475
GRÊMIO NÁUTICO TAMANDARÉ;1;-30.03906;-52.89858
INST. EST. DE EDUC. JOÃO NEVES DA FONTOURA;12;-30.04517;-52.88978
PAVILHÃO COMUNITÁRIO SANTO ANTÔNIO (ANT. ESC. ABILIO LIMA DE CARVALHO);1;-30.39179;-53.04681
PAVILHÃO DA COMUNIDADE SANTO ISIDORO (ANTIGA EMEF IRMÃ JÚLIA DE JESUS);18;-29.98104;-52.98143
SALÃO DA CAPELA SANTO ANTÔNIO (EEEF MONSENHOR ARMANDO TEIXEIRA);0;-30.07938;-52.90198
SALÃO DA CONGREGAÇÃO CRISTO REDENTOR;4;-30.02804;-52.90856
SALÃO DA IGREJA SÃO JOSÉ;10;-30.03004;-52.90854
SALÃO PAROQUIAL DA CAPELA DE DORASNAL;0;-30.225;-53.31527
SALÃO PAROQUIAL DA CAPELA DIVINO ESPÍRITO SANTO;0;-30.02406;-53.14581
SALÃO PAROQUIAL DA CAPELA SÃO PEDRO;25;-29.90057;-52.90174
SALÃO PAROQUIAL DA COMUNIDADE SÃO JOSÉ;4;-30.29243;-53.23211
SALÃO PAROQUIAL NOSSA SENHORA DA PENHA;39;-30.00263;-52.90881
SALÃO PAROQUIAL PERPÉTUO SOCORRO;4;-30.01593;-52.90702
UERGS - (ANTIGA CASA DO TRABALHADOR - FGTAS/SINE);4;-30.0454;-52.89337
