Local;Votos;Latitude;Longitude
ANTIGO PRÉDIO DA IGREJA LUTERANA DE VISTA ALEGRE;39;-30.71296;-51.91401
ASSOCIAÇÃO COMUNITÁRIA AGRÍCOLA DOS GALPÕES;0;-30.82902;-51.8002
ASSOCIAÇÃO DOS APOSENTADOS E PENSIONISTAS DE CAMAQUÃ;54;-30.84884;-51.80839
CENTRO ADMINISTRATIVO MUNICIPAL;83;-30.85134;-51.81058
CENTRO MUNICIPAL DE ESPORTES;68;-30.86072;-51.80363
CLUBE DE MÃES ALEGRIA DA PAZ;8;-30.98132;-51.79534
CLUBE DE MÃES NOSSA SENHORA APARECIDA;13;-30.90435;-51.80207
CLUBE DE MÃES SÃO JOSÉ DA AMIZADE;52;-30.6895;-51.72863
CLUBE HONORATO DOMINGUES SOARES;32;-30.84729;-51.81342
COLÉGIO ESTADUAL SETE DE SETEMBRO;154;-30.85095;-51.81262
E E SÃO BERNADINO SENA PREMEM;79;-30.85868;-51.79406
ESC. EST. DE ENS. FUND. VEREADOR JOSÉ ADÃO DE ASSIS BARBOSA - CIEP;122;-30.84287;-51.78736
ESC. EST. EDISON NUNES DE CAMPOS;29;-30.92096;-51.79913
ESC. MUN. DE ENS. FUND. SANTO ANTÔNIO;109;-30.87033;-51.96458
ESC. MUN. ENS. FUND. 15 DE NOVEMBRO;121;-30.71927;-51.91614
ESC. MUN. ENS. FUND. ALFREDO JACOBSEN;38;-30.79448;-51.94436
ESC. MUN. ENS. FUND. ANA TOMÁZIA RIBEIRO;65;-30.85401;-51.79077
ESC. MUN. ENS. FUND. BENTO FRANCISCO DIAS;79;-30.86358;-51.82414
ESC. MUN. ENS. FUND. BOAVENTURA CARDOSO DA SILVA;59;-30.82415;-51.719
ESC. MUN. ENS. FUND. CÂNDIDO RODRIGUES DE FREITAS;44;-30.85031;-51.76826
ESC. MUN. ENS. FUND. DIOGO FEIJÓ;20;-30.89886;-51.91634
ESC. MUN. ENS. FUND. DR. NADIR MEDEIROS;48;-30.8598;-51.82052
ESC. MUN. ENS. FUND. DR. OTACIANO DE OLIVEIRA;21;-31.24815;-51.75032
ESC. MUN. ENS. FUND. JOÃO BECKEL;30;-30.76593;-51.84459
ESC. MUN. ENS. FUND. OSVALDO ARANHA;283;-30.87218;-51.81752
ESC. MUN. ENS. FUND. OTTO LAUFER;90;-30.71487;-51.79128
ESC. MUN. ENS. FUND. RUI BARBOSA;29;-30.74148;-51.86008
ESC. MUN. ENS. FUND. SILVIO LUIZ;8;-30.79277;-51.83079
ESC. MUN. ENS. FUND. VICENTE GARCIA;33;-30.68035;-51.78282
ESCOLA ESTADUAL DE ENS. FUND. DR. CARVALHO BASTOS;43;-30.84997;-51.80171
ESCOLA ESTADUAL DE ENS. FUND. FRANCISCO LUIZ;71;-30.84352;-51.81509
ESCOLA ESTADUAL DE ENS. FUND. MANOEL DA SILVA PACHECO;82;-30.85618;-51.80618
ESCOLA ESTADUAL DE ENS. MEDIO ANA CESAR;145;-30.84341;-51.82221
ESCOLA MUNICIPAL DE ENS. FUND. MAHATMA GANDHI;42;-30.83762;-51.80904
ESCOLA MUNICIPAL DE ENS. FUND. MARINA DE GODOY NETO;110;-30.86884;-51.80599
ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL MÁRIO CENTENO CRESPO;49;-31.12955;-51.78689
ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL ÉRICO VERÍSSIMO;60;-30.63963;-51.85513
ESCRITORIO DA CORSAN;27;-30.84884;-51.81822
GINÁSIO DO CLUBE CAMAQÜENSE;59;-30.85172;-51.81307
INSTITUTO ESTADUAL DE EDUCAÇÃO CÔNEGO LUIZ WALTER HANQUET;80;-30.85476;-51.79795
PRESÍDIO ESTADUAL DE CAMAQUÃ;0;-30.84463;-51.81634
SALÃO PAROQUIAL DA CAPELA NOSSA SENHORA DE FÁTIMA -TRÊS BICOS;37;-30.89687;-52.0511
SALÃO PAROQUIAL DA CAPELA TRÊS REIS MAGOS;64;-30.83488;-51.91888
SALÃO PAROQUIAL DA IGREJA;41;-30.85045;-51.81798
SALÃO PAROQUIAL DA IGREJA IMACULADA CONCEIÇÃO;12;-30.67914;-51.9294
SESC/SENAC;158;-30.85619;-51.81159
SOCIEDADE RECREATIVA ALVORADA;124;-30.85408;-51.80254
SOCIEDADE RECREATIVA ALVORADA DEPARTAMENTO DE PISCINAS;115;-30.85793;-51.81561
