Local;Votos;Latitude;Longitude
AUGUSTO SEVERO -ESCOLA EST. DE ENS. FUND.;24;-29.95457;-51.17271
BARAO DO AMAZONAS - ESC. EST. ENSINO FUNDAMENTAL;5;-29.94004;-51.1734
CARLOS CHAGAS - INSTITUTO ESTADUAL DE EDUCACAO DR.;9;-29.9469;-51.17348
CARLOS DRUMMOND DE ANDRADE - E.M. E.F.;4;-29.89158;-51.13751
CASTELO BRANCO-E.M.E.F.;2;-29.9031;-51.16247
CENTRO UNIVERSITÁRIO LA SALLE;3;-29.91726;-51.18126
COLEGIO ESPIRITO SANTO - SOC. ENSINO BENEFICIENCIA PROVINCIA DO SUL;5;-29.93043;-51.16806
COLEGIO ULBRA SAO JOAO;1;-29.90403;-51.19868
COLÉGIO DA IMACULADA;11;-29.96169;-51.18946
COLÉGIO LA SALLE;8;-29.91716;-51.18179
COLÉGIO MARIA AUXILIADORA;1;-29.91743;-51.18313
COLÉGIO ROMANO SÃO JOSÉ;3;-29.8819;-51.17612
COLÉGIO ROMANO SÃO PAULO;9;-29.92485;-51.13024
COMPLEXO PENITENCIÁRIO DE CANOAS - PECAN II III IV;0;-29.89843;-51.12243
CONCORDIA - COLEGIO LUTERANO;1;-29.95011;-51.17393
CRISTO REDENTOR-UNIDADE ENSINO;0;-29.92135;-51.16904
CSSGAPA - CLUBE DOS SUBOFICIAIS E SARGENTOS;0;-29.9351;-51.15954
CÔNEGO JOSÉ LEÃO HARTMANN -E.E. ENS. MED.;1;-29.89617;-51.1351
DUQUE DE CAXIAS - ESC. MUN. DE ENSINO FUNDAMENTAL;1;-29.92846;-51.16521
E.E.E.F. PROFESSORA CLOTILDE BATISTA;2;-29.91381;-51.19581
EDGAR FONTOURA-E.M.E.F.PREF.;0;-29.91815;-51.16924
ERNA WÜRTH - E. M.E.F.;9;-29.90154;-51.13975
ESC EST ENS FUND CRISTOVAO COLOMBO;4;-29.88746;-51.18219
ESC EST ENS FUND DR VICTOR HUGO LUDWIG;2;-29.90218;-51.20381
ESC EST ENS MEDIO BENTO GONCALVES;6;-29.90225;-51.19069
ESC EST ENS MEDIO SAO FRANCISCO DE ASSIS;6;-29.9041;-51.21126
ESC EST ENS MEDIO TEREZA FRANCESCUTTI;5;-29.90178;-51.21746
ESC LUTERANA COMUNITARIA ENS FUND SAO MATEUS;2;-29.90497;-51.23651
ESC MUN ENS FUND CEARA;3;-29.89818;-51.18237
ESC MUN ENS FUND DAVID CANABARRO;2;-29.90585;-51.2214
ESC MUN ENS FUND JOAO PAULO I;6;-29.90941;-51.20749
ESC MUN ENS FUND MAX ADOLFO ODERICH;4;-29.91016;-51.22722
ESC MUN ENS FUND MIN RUBEM CARLOS LUDWIG;0;-29.89952;-51.22282
ESC MUN ENS FUND PROF ODETTE YOLANDA O FREITAS;0;-29.90297;-51.23351
ESC MUN ENS FUND RIO DE JANEIRO;2;-29.90869;-51.18967
ESC MUN ENS FUND THIAGO WURTH;2;-29.90092;-51.22777
ESC MUNICIPAL DE ENSINO FUNDAMENTAL BILINGUE SURDOS VITORIA;1;-29.90353;-51.19744
ESC. EST. DE ENS. FUND. ANTÔNIO FRANCISCO LISBOA;7;-29.95398;-51.18636
ESC. EST. DE ENS. FUND. BARTOLOMEU DE GUSMÃO;15;-29.96157;-51.18155
ESC. EST. DE ENS. FUND. ÁLVARO MOREYRA;10;-29.96415;-51.18504
ESC. EST. DE ENS. MÉDIO ANDRÉ LEÃO PUENTE;2;-29.91578;-51.18569
ESC. EST. DE ENS. MÉDIO VISCONDE DO RIO BRANCO (POLIVALENTE);11;-29.95991;-51.18535
ESC. LUTERANA DE 1 GRAU DR. MARTINHO LUTERO;2;-29.91854;-51.19625
ESC. MUN. DE EDUCAÇÃO INFANTIL PROFESSORA MARILENE DA SILVA MACHADO;4;-29.92309;-51.19595
ESC. MUN. DE ENS. FUND. ARTHUR PEREIRA DE VARGAS;4;-29.91713;-51.2071
ESC. MUN. DE ENS. FUND. CORONEL FRANCISCO PINTO BANDEIRA;11;-29.95805;-51.19058
ESC. MUN. DE ENS. FUND. DR. NELSON PAIM TERRA;10;-29.96505;-51.19323
ESCOLA DE ENS. FUND. CANOAS;0;-29.92191;-51.18247
ESCOLA ESTADUAL DE ENS. MÉDIO GUARANI;0;-29.94235;-51.18435
ESCOLA ESTADUAL DE ENSINO MÉDIO GUILHERME DE ALMEIDA;8;-29.91295;-51.20894
ESCOLA MUN. DE ENS. FUND. ASSIS BRASIL;2;-29.93439;-51.19515
ESCOLA MUN. DE ENS. FUND. GENERAL OSÓRIO;4;-29.95678;-51.18543
ESCOLA MUN. DE ENS. FUND. RIO GRANDE DO SUL;5;-29.92824;-51.19304
ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL GONCALVES DIAS;2;-29.9141;-51.21341
FARROUPILHA - ESCOLA MUNICIPAL ENSINO FUNDAMENTAL;9;-29.93682;-51.16865
GENERAL NETO - E.M.E.F.;2;-29.91459;-51.11975
GERMANO WITROCK-E.E.ENS. FUND.PROF.;2;-29.90121;-51.17403
GOVERNADOR LEONEL DE MOURA BRIZOLA- EMEF;0;-29.88278;-51.15128
GUAJUVIRAS - E.M.E.F.;15;-29.90233;-51.13468
GUANABARA - ESC. EST. DE ENSINO FUNDAMENTAL;106;-29.95445;-51.16291
IGREJA LUTERANA - COMUNIDADE EVANGELICA DE CANOAS;5;-29.92739;-51.17027
ILDO MENEGHETTI - E. M. DE ENS. FUND. ENG.;3;-29.92027;-51.1454
INSTITUTO FEDERAL DE EDUCAÇÃO CIÊNCIA E TECNOLOGIA DO RS - IFRS;3;-29.89984;-51.15055
