Local;Votos;Latitude;Longitude
ARMAZEM TIO JULIO;0;-31.70205;-52.58161
COMUNIDADE SANTA RITA DE CASSIA;0;-31.929;-52.43416
E.M.E.F. PROFESSORA DELFINA BORDALO DE PINHO;4;-31.72917;-52.58763
ESC. EST. DR. DARIO DA SILVA TAVARES;36;-31.76636;-52.50173
ESC. EST. PRES. CASTELO BRANCO;121;-31.76505;-52.49741
ESC. MUN. ALVARO BERCHON;7;-31.84948;-52.67278
ESC. MUN. BARAO DE STO. ANGELO;85;-31.75953;-52.43821
ESC. MUN. COM. PARQUE FRAGATA;89;-31.75788;-52.46384
ESC. MUN. PREF. ELBERTO MADRUGA;199;-31.76583;-52.43325
ESC. MUN. PROF. ELMAR DA SILVA COSTA;29;-31.76353;-52.42367
ESC. MUN. PROF. MARGARIDA GASTAL;21;-31.80141;-52.40815
