Local;Votos;Latitude;Longitude
ASSOCIAÇÃO DE AGRICULTORES DATA DOS TAVARES;30;-30.50118;-51.76533
E. E. ENSINO FUND. FRANCISCO JOSE PEREIRA;45;-30.61133;-51.69957
E. E. ENSINO FUND. MANOELA ALVES PACHECO;59;-30.60966;-51.84472
E. E. ENSINO FUND. MARIA DE JESUS SCHUMMACHER;94;-30.63426;-51.72784
E. E. ENSINO MEDIO MEM DE SA;102;-30.59483;-51.7505
E.M.E.F. FORTALEZA;99;-30.59847;-51.75261
E.M.E.F. JOSE DE ALENCAR;20;-30.53143;-51.80682
E.M.E.F. PADRE REUS;10;-30.56767;-51.67163
E.M.E.F. SANTA INES;22;-30.58144;-51.8469
SALÃO PAROQUIAL IGREJA SANTA BÁRBARA;16;-30.52766;-51.67336
SALÃO PAROQUIAL IGREJA SÃO JOSÉ;37;-30.53988;-51.83424
