Local;Votos;Latitude;Longitude
CENTRO COMUNITARIO CRISTO RESSUSCITADO;20;-30.4977;-52.14859
CTG;216;-30.69839;-52.11186
ESCOLA CATULINO PEREIRA DA ROSA;390;-30.70802;-52.10865
ESCOLA ESTADUAL DOM FELICIANO;423;-30.70167;-52.10804
ESCOLA MUNICIPAL NOSSA SENHORA DE FATIMA;265;-30.62607;-52.04434
ESCOLA MUNICIPAL PADRE CONSTANTINO;69;-30.7588;-52.16515
ESCOLA MUNICIPAL PADRE VIEIRA;96;-30.69554;-52.06421
ESCOLA MUNICIPAL SANTA TERESINHA;164;-30.73588;-52.27163
ESCOLA MUNICIPAL SAO JOAO BATISTA;196;-30.60449;-52.16753
SALÃO COMUNIDADE SAGRADO CORAÇÃO DE JESUS;81;-30.79766;-52.1328
SALÃO DA COMUNIDADE SANTA CECÍLIA;85;-30.67588;-52.27553
SALÃO DA COMUNIDADE SÃO CASSEMIRO (ANTIGA ESCOLA SÃO VALENTIM);79;-30.7078;-52.21527
SOCIEDADE SANTO ADALBERTO;18;-30.65692;-52.03361
