Local;Votos;Latitude;Longitude
E. E. BERNARDINO ANGELO;49;-30.981;-54.67772
E. E. DE ENS. MEDIO NOSSA SENHORA DO PATROCINIO;16;-30.98323;-54.67038
E. E. E. F. ALZIRA BARCELLOS;20;-30.99371;-54.67184
E. E. E. F. CORONEL URBANO DA CHAGAS;47;-30.9805;-54.66961
E. E. E. F. DULCE DA FONTE ABREU;35;-30.96928;-54.68094
E. E. E. F. GETULIO DORNELES VARGAS - CIEP;37;-30.99311;-54.66574
E. E. E. F. HELOIZA LOUZADA;38;-30.9684;-54.67174
E. E. E. F. PROFESSOR PAMPLONA;13;-30.98133;-54.64653
E. E. E. F. SENADOR PASQUALINI;61;-30.96848;-54.67212
E. E. RIZOLETA DE QUADROS;1;-31.02849;-54.18613
E. M. E. F. ALCIDES MAIA;56;-30.96182;-54.68558
E. M. E. F. ALDA SEABRA;56;-30.97446;-54.67687
E. M. E. F. HERODIANO ARRUÉ;38;-30.9927;-54.65439
E. M. E. F. PROF. BERNARDINO TATU;11;-30.987;-54.6798
E. M. R. E. F. PEDRO BERNARDO DOS SANTOS;0;-30.94815;-54.65309
E. M. SEPE TIARAJU;7;-30.78236;-54.8325
E. NOSSA SENHORA DO HORTO;14;-30.98524;-54.67215
E.M.E.F DUQUE DE CAXIAS;6;-30.96922;-54.66162
E.M.E.F. ARGENY DE OLIVEIRA JARDIM;42;-30.97068;-54.68582
E.M.E.I DR. JOSÉ TUDE DE GODOY;39;-30.97528;-54.6572
ESCOLA MUNICIPAL SUCESSAO DO MORAES;10;-30.97557;-54.9139
RANCHO FARROUPILHA DR. ANTÔNIO CÂNDIDO DA SILVA NETO;1;-30.98398;-54.67457
SALÃO SÃO DOMINGOS;0;-31.16881;-54.82244
