Local;Votos;Latitude;Longitude
CAMARA DE VEREADORES;6;-29.85196;-51.17246
CASA DE CULTURA;4;-29.84997;-51.1669
ESCOLA ADVENTISTA DE ESTEIO;44;-29.85095;-51.17465
ESCOLA ESTADUAL AUGUSTO MEYER;5;-29.84118;-51.15739
ESCOLA ESTADUAL BERNARDO VIEIRA DE MELO;35;-29.84793;-51.17413
ESCOLA ESTADUAL CAETANO GONCALVES DA SILVA;30;-29.85366;-51.16949
ESCOLA ESTADUAL CAIC;24;-29.85816;-51.13289
ESCOLA ESTADUAL DE E. MEDIO BAIRRO DO PARQUE;38;-29.84793;-51.18729
ESCOLA ESTADUAL EZEQUIEL NUNES;10;-29.86058;-51.17907
ESCOLA ESTADUAL JARDIM PLANALTO;21;-29.85863;-51.13765
ESCOLA ESTADUAL JOSE LOUREIRO DA SILVA;21;-29.85468;-51.16925
ESCOLA ESTADUAL SANTO ANTONIO MARIA CLARET;5;-29.85072;-51.16136
ESCOLA ESTADUAL TOMÉ DE SOUZA;8;-29.84395;-51.16202
ESCOLA LA SALLE;16;-29.84877;-51.15741
ESCOLA MUNICIPAL ALBERTO PASQUALINE;13;-29.85896;-51.16339
ESCOLA MUNICIPAL CAMILO ALVES;23;-29.84528;-51.15244
ESCOLA MUNICIPAL CLODOVINO SOARES;4;-29.8383;-51.15729
ESCOLA MUNICIPAL DULCE DE MORAES;1;-29.85375;-51.16207
ESCOLA MUNICIPAL ERICO VERISSIMO;18;-29.85653;-51.15703
ESCOLA MUNICIPAL FLORES DA CUNHA;11;-29.85794;-51.15144
ESCOLA MUNICIPAL JOAO XXIII;3;-29.833;-51.16676
ESCOLA MUNICIPAL LUIZA SILVESTRE FRAGA;103;-29.84521;-51.18247
ESCOLA MUNICIPAL MARIA C. S. MARQUES;13;-29.8672;-51.10611
ESCOLA MUNICIPAL MARIA LYGIA;17;-29.85821;-51.13159
ESCOLA MUNICIPAL OSVALDO ARANHA;18;-29.85096;-51.16633
ESCOLA MUNICIPAL SANTO INACIO;51;-29.85437;-51.13978
ESCOLA MUNICIPAL VILA OLIMPICA;22;-29.86328;-51.14988
ESCOLA MUNICIPAL VITORINNA FABRE;5;-29.84074;-51.17016
