Local;Votos;Latitude;Longitude
CAMARA MUNICIPAL DE VEREADORES;57;-32.56425;-53.37721
CAPELA NOSSA SENHORA DE LOURDES;6;-32.22328;-53.32207
CAPELA PEDRAS BRANCAS;16;-32.30574;-53.49143
CENTRO DE REFERÊNCIA DE ASSISTÊNCIA SOCIAL - CRAS;50;-32.54762;-53.38413
CENTRO DE SAUDE;88;-32.56859;-53.37713
CLUBE 24 DE AGOSTO;132;-32.55619;-53.37689
COLÉGIO NELSON WORTMANN;89;-32.56183;-53.37322
E.E.E.F. ALCIDES MARQUES;122;-32.56012;-53.37601
E.M.E.F. DR. FERNANDO CORRÊA RIBAS;77;-32.56955;-53.38856
E.M.E.F. MANOEL PEREIRA VARGAS;158;-32.55691;-53.36919
ESCOLA ESTADUAL DE ENS. FUND. HERMES PINTOS AFFONSO;191;-32.55584;-53.3791
ESCOLA ESTADUAL DE ENS. FUND. JOAQUIM CAETANO DA SILVA;322;-32.56073;-53.38049
ESCOLA MUN. DE ENS. FUND. COMPLETO MARCILIO DIAS;208;-32.56363;-53.38649
ESCOLA MUNICIPAL DE ENS. FUND. GENERAL ANTÔNIO DE SAMPAIO;242;-32.55429;-53.36035
ESCOLA MUNICIPAL DE ENS. FUND. MAL. CASTELO BRANCO;182;-32.55182;-53.39027
ESCOLA MUNICIPAL DE ENS. FUND. PADRE PAGLIANI;322;-32.56497;-53.37104
ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL CENI SOARES DIAS;117;-32.56303;-53.35136
INSTITUTO DE EDUCACAO ESPIRITO SANTO;488;-32.55833;-53.37313
MINISTÉRIO PÚBLICO;47;-32.55682;-53.38698
PIQUETE COXILHA DE SANTANA;11;-32.49765;-53.09584
SECRETARIA MUNICIPAL DE SAÚDE;36;-32.5581;-53.38255
SOCIEDADE HARMONIA JAGUARAO - SEDE ESPORTIVA;51;-32.55482;-53.38219
UNIVERSIDADE FEDERAL DO PAMPA;322;-32.55525;-53.39098
