Local;Votos;Latitude;Longitude
ESCOLA ESTADUAL MAJOR CACILDO KREBS;72;-30.33286;-50.40253
ESCOLA ESTADUAL MANOEL LUIZ;60;-30.25874;-50.51044
ESCOLA ESTADUAL PADRE LUIZ FISCHER;138;-30.2638;-50.5197
ESCOLA ESTADUAL PROFESSOR ALBANO ALVES PEREIRA;88;-30.26035;-50.50877
ESCOLA MUNICIPAL BENTO GONÇALVES;41;-30.33717;-50.27558
ESCOLA MUNICIPAL DE EDUCAÇÃO INFANTIL CRIANÇA FELIZ;17;-30.33921;-50.39649
ESCOLA MUNICIPAL DE EDUCAÇÃO INFANTIL ESTRELINHA DO MAR;13;-30.38359;-50.28495
ESCOLA MUNICIPAL DOMINGOS SARAIVA;69;-30.48738;-50.45798
ESCOLA MUNICIPAL FIRMIANO DA TERRA OSÓRIO;40;-30.34569;-50.39167
ESCOLA MUNICIPAL JOSÉ MARQUES LOPES;47;-30.40848;-50.50288
PRÉDIO DE EDUCAÇÃO RELIGIOSA DA IGREJA BATISTA;19;-30.26016;-50.50846
SALÃO PAROQUIAL SANTO ANTÔNIO;4;-30.27324;-50.32138
SARPEIXE;8;-30.35003;-50.27704
