Local;Votos;Latitude;Longitude
CABANA NORMA GRUPELLI;13;-31.45571;-52.51043
CAMPUS II DA UFPEL;28;-31.77623;-52.33931
CASA COMERCIAL SR. HUGO STARK;32;-31.46644;-52.21559
CASA COMERCIAL SR. ROBERTO HINZ FILHO;66;-31.38924;-52.46786
CATEDRAL DO REDENTOR - IGREJA CABELUDA;9;-31.77243;-52.34272
CENTRO DE ATENDIMENTO SOCIOEDUCATIVO - CASE PELOTAS;0;-31.73412;-52.33146
CENTRO PORTUGUÊS 1.º DE DEZEMBRO;11;-31.75919;-52.27166
CLUBE BRILHANTE;30;-31.75286;-52.33431
CLUBE DIAMANTINOS;12;-31.76409;-52.33644
COLÉGIO EST. DOM JOÃO BRAGA;37;-31.76825;-52.33275
COLÉGIO EST. FÉLIX DA CUNHA;9;-31.77965;-52.34066
COLÉGIO GONZAGA;21;-31.76324;-52.33843
COLÉGIO PELOTENSE - GINÁSIO JOÃO GASTAL;45;-31.75946;-52.34645
COLÉGIO SINODAL ALFREDO SIMON;32;-31.71275;-52.34844
COLÉGIO SÃO JOSÉ;24;-31.77525;-52.34166
COMUN. EVANG. SÃO JOÃO;3;-31.75948;-52.33714
COMUNIDADE ANGLICANA SÃO PAULO;2;-31.52121;-52.52562
COMUNIDADE CATÓLICA NOSSA SENHORA DAS GRAÇAS;2;-31.65276;-52.44201
COMUNIDADE CATÓLICA SÃO FRANCISCO DE ASSIS;4;-31.54866;-52.58326
COMUNIDADE COLÔNIA RAMOS;5;-31.57585;-52.37173
COMUNIDADE EVANGÉLICA MARTIN LUTERO;14;-31.70065;-52.33928
COMUNIDADE LUTERANA TRIUNFO;16;-31.36112;-52.48737
COMUNIDADE SÃO MATEUS;3;-31.4594;-52.55681
COMUNIDADE SÃO PEDRO;3;-31.55683;-52.35886
COMUNIDADE SÉRIE PRIMEIRA;19;-31.53182;-52.32889
CONJUNTO AGROTÉCNICO VISCONDE DA GRACA - CAVG;11;-31.71648;-52.30871
CÍRCULO OPERÁRIO PELOTENSE;8;-31.7557;-52.32934
DUNAS CLUBE;17;-31.75124;-52.30159
E.A.E.F. PROF. ULINA BENTO LOPES;17;-31.77377;-52.32403
E.E.E.F. CORONEL PEDRO OSÓRIO;16;-31.765;-52.34205
E.E.E.F. JOSÉ BRUSQUE FILHO;19;-31.77857;-52.33042
E.E.E.F. N. SRA. DOS NAVEGANTES;42;-31.77079;-52.3196
E.E.E.F. PADRE RAMBO;40;-31.77266;-52.33084
E.E.E.M. AREAL;38;-31.75278;-52.308
E.E.F. CASTRO ALVES;8;-31.7741;-52.34575
E.M.E.F. BIBIANO DE ALMEIDA;21;-31.75552;-52.31798
E.M.E.F. DR. JOAQUIM ASSUMPÇÃO;13;-31.77231;-52.33819
ESC. EST. ADOLFO FETTER;19;-31.71541;-52.34244
ESC. EST. DE EDUC. PROFISS. JOÃO XXIII;2;-31.76868;-52.3396
ESC. EST. DR. AUGUSTO SIMOES LOPES;13;-31.77226;-52.35603
ESC. EST. FERNANDO TREPTOW;14;-31.75714;-52.36719
ESC. EST. NOSSA SENHORA APARECIDA;5;-31.76881;-52.36175
ESC. EST. NOSSA SENHORA DE FATIMA;22;-31.74213;-52.38991
ESC. EST. OSMAR DA ROCHA GRAFULHA - CIEP;48;-31.75511;-52.38363
ESC. EST. PROF. LUIZ CARLOS CORREA DA SILVA;21;-31.74423;-52.37019
ESC. EST. VISC. DE SOUZA SOARES;10;-31.75663;-52.38993
ESC. LA SALLE PELOTAS;23;-31.76434;-52.32703
ESC. MUN. ANTONIO JOAQUIM DIAS;4;-31.72879;-52.4058
ESC. MUN. BALBINO MASCARENHAS;7;-31.76954;-52.35521
ESC. MUN. DR. ALCIDES DE MENDONCA LIMA;10;-31.75986;-52.37567
ESC. MUN. DR. BRUM DE AZEREDO;10;-31.76175;-52.37009
ESC. MUN. NOSSA SENHORA DE LOURDES;9;-31.75102;-52.39663
ESC. TEC. EST. PROF. SYLVIA MELLO;35;-31.7555;-52.37284
ESCOLA DE ENSINO FUNDAMENTAL SANTA TEREZINHA;12;-31.72625;-52.35039
ESCOLA ESTADUAL ANTÔNIO LEIVAS LEITE;13;-31.7264;-52.33086
ESCOLA ESTADUAL DE ENSINO MÉDIO DR. AMÍLCAR GIGANTE;0;-31.70857;-52.32753
ESCOLA ESTADUAL DIRCEU MOREIRA;48;-31.4446;-52.3131
ESCOLA ESTADUAL DR. EDMAR FETTER;12;-31.75413;-52.24012
ESCOLA ESTADUAL DR. FRANKLIN OLIVE LEITE;24;-31.70898;-52.34734
ESCOLA ESTADUAL DR. PROCÓPIO DUVAL GOMES DE FREITAS;5;-31.71271;-52.3545
ESCOLA ESTADUAL JARDIM DE ALLAH;15;-31.68505;-52.34036
ESCOLA ESTADUAL JOAQUIM DUVAL;41;-31.71833;-52.35039
ESCOLA ESTADUAL LÉLIA ROMANELLI OLMOS;15;-31.74768;-52.29726
ESCOLA ESTADUAL MARECHAL RONDON;11;-31.62712;-52.43998
ESCOLA ESTADUAL PARQUE DO OBELISCO;12;-31.74211;-52.30367
ESCOLA ESTADUAL RACHEL MELLO;17;-31.69454;-52.29366
ESCOLA ESTADUAL SANTA EULÁLIA;3;-31.58012;-52.4518
ESCOLA ESTADUAL SANTO ANTÔNIO;21;-31.72666;-52.34328
ESCOLA LOUIS BRAILLE;1;-31.75725;-52.33749
ESCOLA MUNICIPAL ANTÔNIO RONNA;9;-31.65243;-52.33338
ESCOLA MUNICIPAL BRAULINDA FERNANDES;5;-31.69862;-52.42322
ESCOLA MUNICIPAL DE EDUCAÇÃO INFANTIL IVANIR DIAS;0;-31.73003;-52.33516
ESCOLA MUNICIPAL DE EDUCAÇÃO INFANTIL PROFª JACEMA RODRIGUES PRESTES;2;-31.72035;-52.30491
ESCOLA MUNICIPAL DOM FRANCISCO DE CAMPOS BARRETO;11;-31.77077;-52.23188
ESCOLA MUNICIPAL DR. BERCHON;28;-31.51982;-52.27946
ESCOLA MUNICIPAL DR. BRUNO CHAVES;3;-31.69087;-52.51421
ESCOLA MUNICIPAL DR. RAPHAEL BRUSQUE;274;-31.69871;-52.15622
ESCOLA MUNICIPAL ERASMO BRAGA;11;-31.48832;-52.48463
ESCOLA MUNICIPAL EVARISTO DA VEIGA;33;-31.36882;-52.30946
ESCOLA MUNICIPAL FRANCISCO CARUCCIO - CAIC;23;-31.70624;-52.32435
ESCOLA MUNICIPAL GARIBALDI;9;-31.50426;-52.58661
ESCOLA MUNICIPAL HENRIQUE PETER;21;-31.49172;-52.30108
ESCOLA MUNICIPAL INDEPENDÊNCIA;112;-31.69063;-52.35684
ESCOLA MUNICIPAL JACOB BROD;17;-31.70324;-52.34067
ESCOLA MUNICIPAL JORNALISTA DEOGAR SOARES;6;-31.74946;-52.31919
ESCOLA MUNICIPAL JOÃO DA SILVA SILVEIRA;22;-31.64881;-52.40585
ESCOLA MUNICIPAL JOÃO JOSÉ DE ABREU;14;-31.43122;-52.53088
ESCOLA MUNICIPAL LUIZ AUGUSTO ASSUMPÇÃO;29;-31.73528;-52.21247
