Local;Votos;Latitude;Longitude
ALBERTO TORRES - ESC EST ENS MED;6;-30.11586;-51.21012
ALDO LOCATELLI - ESCOLA ESTADUAL;4;-30.04877;-51.14563
AMERICA - ESCOLA ESTADUAL DE ENSINO FUNDAMENTAL;0;-30.01562;-51.12152
ANCHIETA COLEGIO;3;-30.02878;-51.17612
ANITA GARIBALDI - ESC EST ENS FUND INC;3;-30.10398;-51.17048
ANTAO DE FARIA - ESCOLA ESTADUAL;9;-30.04385;-51.15238
ARAUJO PORTO ALEGRE - ESC. EST. DE ENS. FUNDAMENTAL;11;-29.98624;-51.12515
ASSOCIACAO DE ENSINO SANTA TERESA DE JESUS;5;-30.09768;-51.23001
ASSOCIACAO DO PESSOAL DA CAIXA ECONÔMICA FEDERAL;0;-30.12304;-51.25017
ASSOCIACAO ISRAELITA - CIRCULO SOCIAL E ESPORTIVO;1;-30.03934;-51.17598
ASSOCIACAO LEOPOLDINA JUVENIL;2;-30.02136;-51.20191
ASSUNÇÃO - COLEGIO MARISTA;5;-30.07542;-51.20295
BAHIA - E.E.E.F.;0;-30.02398;-51.17488
BALTAZAR DE OLIVEIRA GARCIA - ESC. EST. DE ENS. MEDIO;15;-30.01805;-51.11003
BENTO GONCALVES - ESC. EST. DE ENSINO FUNDAMENTAL;19;-30.00157;-51.10234
BRIGADEIRO SILVA PAES - ESC EST ENS FUND;1;-30.07496;-51.21319
CADEIA PÚBLICA DE PORTO ALEGRE;0;-30.07114;-51.18247
CARLOS BARBOSA GONCALVES - ESCOLA ESTADUAL;15;-29.9937;-51.19815
CARLOS FAGUNDES DE MELLO UNIDADE ESTADUAL DE ENSINO;23;-29.99009;-51.196
CARLOS RODRIGUES DA SILVA - ESCOLA ESTADUAL;2;-30.00521;-51.17361
CASA DO PEQUENO OPERARIO-DOM BOSCO;8;-30.01184;-51.18025
CE DOUTOR GLICÉRIO ALVES;7;-30.21046;-51.17707
CE ENGENHEIRO ILDO MENEGHETTI;1;-30.1541;-51.14742
CEARÁ - ESC EST ENS MED;0;-30.0789;-51.20784
CEASA - PORTO ALEGRE;0;-29.97701;-51.16738
CEL. APARICIO BORGES - ESCOLA ESTADUAL;8;-30.06818;-51.18809
CENTRO COMUNITARIO PARQUE MADEPINHO;0;-30.10038;-51.22993
CENTRO DE ATENDIMENTO SOCIOEDUCATIVO - POA II - FASE;0;-30.07998;-51.23187
CENTRO DE ATENDIMENTO SOCIOEDUCATIVO FEMININO - CASEF - FASE;0;-30.08027;-51.23352
CENTRO DE ATENDIMENTO SOCIOEDUCATIVO PADRE CACIQUE - FASE;0;-30.06977;-51.23797
CENTRO DE COMUNIDADE SOCIOEDUCATIVA - CSE - FASE;0;-30.07752;-51.24274
CENTRO DE ENSINO MEDIO PASTOR DOHMS - UNIDADE ZONA NORTE;5;-30.01472;-51.10988
