Local;Votos;Latitude;Longitude
(APAE) CRAEE;91;-33.52487;-53.35363
ASSOCIACAO ATLETICA BANCO DO BRASIL;164;-33.52145;-53.37355
CLUBE COMERCIAL;110;-33.52025;-53.36962
COLEGIO ESTADUAL SANTA VITORIA DO PALMAR;248;-33.52371;-53.3611
EMEF BRASILINO PATELLA;7;-33.20362;-53.24963
EMEF PROFESSORA MARIA RAMIS;117;-33.51343;-53.35483
EMEI DONATOS;36;-33.5155;-53.35954
ESC. EST. DE EDUC. BASICA MANOEL VICENTE DO AMARAL;195;-33.52245;-53.36298
ESC. EST. DE ENS. FUND. PROF. ABILIO AZAMBUJA;241;-33.52667;-53.35808
ESC. MUN. ENS. FUND. BERNARDO ARRIADA;124;-32.93881;-52.7671
ESC. MUN. ENS. FUND. COL. ALVARO AUGUSTO DE CARVALHO;71;-33.66403;-53.2639
ESC. MUN. ENS. FUND. GETULIO VARGAS;126;-33.50941;-53.4098
ESC. MUN. ENS. FUND. ORIETE ISIDORA GARCIA;52;-33.50536;-53.35424
ESC. MUN. ENS. FUND. OSMARINO DE OLIVEIRA TERRA;169;-33.53341;-53.34937
ESC. MUN. ENS. FUND. PROF. OSCAR MACHADO;106;-33.13481;-52.95678
ESC. MUN. ENS. FUND.FRANCISCO OSVALDO ANSELMI;134;-33.52441;-53.35703
ESC. MUN. ENS. FUND.JOSE BERNARDINO DE SOUZA CASTRO;35;-33.73285;-53.37281
ESC. SAO CARLOS;179;-33.51674;-53.36768
ESC.MUN. ENS. FUND. MARECHAL CASTELO BRANCO;271;-33.51546;-53.3626
ESCOLA ARESMI TAVARES;128;-33.52604;-53.37655
GRUPO ESCOLAR WANDELINA NUNES;181;-33.53515;-53.3723
PRESÍDIO ESTADUAL DE SANTA VITORIA DO PALMAR;0;-33.52503;-53.37005
