Local;Votos;Latitude;Longitude
A.P.A.E.;27;-32.01645;-52.04152
CAIC - CENTRO DE ATENDIMENTO E INTEGRAÇÃO A CRIANÇA;96;-32.0154;-52.03396
CAPACITA MULHER - ANTIGO CADASTRO ÚNICO NA PROGASA;12;-32.00686;-52.03913
CLUBE RECREATIVO E CULTURAL SÓCRATES;58;-32.01051;-52.04005
COLÔNIA DE PESCADORES Z-2;14;-32.01424;-52.04335
CÍRCULO OPERÁRIO NORTENSE;37;-32.01347;-52.04081
ESCOLA COMUNITÁRIA DO SARAIVA;8;-32.00692;-52.03548
ESCOLA ESTADUAL DE ENSINO FUNDAMENTAL CAPITÃO LUIZ DA SILVA FERREIRA;44;-31.6326;-51.41698
ESCOLA ESTADUAL DE ENSINO FUNDAMENTAL MARQUES DE SOUZA;151;-32.0126;-52.04274
ESCOLA ESTADUAL SILVÉRIO DA COSTA NOVO;107;-32.13033;-52.07708
ESCOLA MUNICIPAL CENTRO DE DEMONSTRAÇÕES;15;-31.72075;-51.56603
ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL CORONEL ANTÔNIO SOARES DE PAIVA;69;-32.01189;-52.04076
ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL MONTEIRO LOBATO;64;-32.02192;-52.03953
ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL ROGÉRIO ATHAYDE SARAIVA;75;-31.82425;-52.07405
ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL TOBIAS DA SILVA;4;-31.88683;-51.97232
ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL VICTAL OTTO GLAESER;25;-31.89074;-52.04198
ESCOLA MUNICIPAL DELFINA DA CUNHA;27;-32.06741;-52.04169
ESCOLA MUNICIPAL DOM FREDERICO DE DONET;24;-31.86928;-51.92573
ESCOLA MUNICIPAL GENERAL ANDRÉA;6;-31.77754;-51.63856
ESCOLA MUNICIPAL MARECHAL RONDON;63;-32.00711;-52.04196
ESCOLA MUNICIPAL PADRE EUGÊNIO TICK;23;-31.82234;-51.74443
IGREJA ASSEMBLÉIA DE DEUS DOS GIDEÕES - OLARIA;2;-31.9487;-51.97507
IGREJA EVANGÉLICA ASSEMBLÉIA DE DEUS;2;-31.54322;-51.3335
IGREJA EVANGÉLICA BATISTA;10;-31.91018;-51.95412
INSTITUTO ESTADUAL DE EDUCAÇÃO SÃO JOSÉ;100;-32.01013;-52.0401
SALÃO COMUNITÁRIO SAGRADA FAMÍLIA;19;-31.85836;-51.80752
SALÃO DA COMUNIDADE NOSSA SENHORA APARECIDA;4;-31.48535;-51.25053
SALÃO DA IGREJA EVANGÉLICA ASSEMBLÉIA DE DEUS;29;-31.88339;-51.86074
SALÃO DA IRMANDADE NOSSA SENHORA DA BOA VIAGEM;28;-32.11784;-52.0785
SALÃO NOSSA SENHORA DA CONCEIÇÃO;16;-31.82224;-51.74519
SALÃO PAROQUIAL DA IGREJA SANTA RITA;13;-32.00703;-52.03825
SALÃO PAROQUIAL DA IRMANDADE MENINO DEUS DA CAPELA;13;-31.90676;-51.94762
SALÃO PAROQUIAL DE SÃO CAETANO;22;-31.88014;-51.86175
SALÃO PAROQUIAL DO TURPIM;5;-31.80771;-51.70774
SALÃO PAROQUIAL E ASSISTENCIAL PADRE EUGENIO TICK;24;-32.01497;-52.04221
SEDE DO ESPORTE CLUBE CAPIVARENSE;11;-31.88261;-52.05262
SEDE DO GRÊMIO ESPORTIVO COCURUTO;17;-32.05671;-52.04292
SEDE DO SPORT CLUB BARRENSE;11;-32.12148;-52.08073
SEDE SOCIAL DO ESPORTE CLUBE FORTALEZA;5;-31.88679;-51.87074
SEDE SOCIAL DO LIBERAL FOOT-BALL CLUB;39;-32.01531;-52.04167
