Local;Votos;Latitude;Longitude
AABB;160;-31.36211;-51.96729
ASSOCIACÃO DOS TRABALHADORES RURAIS;70;-31.22093;-52.34809
ASSOCIAÇÃO DOS MORADORES DO BOQUEIRÃO;126;-31.28191;-52.07858
COM. EVANG. CONF. LUTERANA SÃO LÇO SUL;222;-31.36642;-51.98057
COMUNIDADE CATÓLICA JESUS DE NAZARÉ;18;-31.0612;-52.27282
COMUNIDADE CATÓLICA NOSSA SENHORA APARECIDA;167;-31.3628;-51.96998
COMUNIDADE CATÓLICA NOSSA SENHORA DE FÁTIMA;283;-31.36775;-51.98675
COMUNIDADE CATÓLICA NOSSA SENHORA DOS NAVEGANTES;121;-31.3737;-51.96666
COMUNIDADE CATÓLICA SAO JOÃO BATISTA DA RESERVA;87;-31.29511;-52.21274
COMUNIDADE CATÓLICA SÃO JOSÉ;237;-31.34988;-51.99109
COMUNIDADE CRISTO REDENTOR;31;-31.14075;-52.17804
COMUNIDADE EVANGÉLICA 3 DE JULHO;94;-31.1921;-51.98016
COMUNIDADE EVANGÉLICA CRISTO SALVADOR DE GUSMÃO;93;-31.18975;-52.18072
COMUNIDADE EVANGÉLICA DE BUTIÁ;95;-31.23274;-52.14822
COMUNIDADE EVANGÉLICA DE CONFISSÃO LUTERANA EVARISTO II;143;-31.17837;-52.30707
COMUNIDADE EVANGÉLICA FELIZ;59;-31.21267;-52.2902
COMUNIDADE EVANGÉLICA HARMONIA II;73;-31.32385;-52.34938
COMUNIDADE EVANGÉLICA INDEPENDENTE SÃO PAULO DE TAQUARAL;73;-31334.0;-52.40694
COMUNIDADE EVANGÉLICA LUTERANA SÃO PEDRO DE BOM JESUS;74;-31.28978;-52.29237
COMUNIDADE EVANGÉLICA PICADA DAS ANTAS;97;-31.31382;-52.23365
COMUNIDADE EVANGÉLICA SÃO JOÃO (BOM JESUS);37;-31.28561;-52.33384
COMUNIDADE EVANGÉLICA SÃO JOÃO (SITIO);84;-31.25486;-52.06385
COMUNIDADE EVANGÉLICA SÃO MARCOS;87;-31.21996;-52.09495
COMUNIDADE EVANGÉLICA SÃO PAULO;119;-31.26352;-52.43757
COMUNIDADE EVANGÉLICA SÃO PEDRO DE HARMONIA;125;-31.30253;-52.40499
COMUNIDADE EVANGÉLICA SÃO PEDRO DE SANTA IZABEL;71;-31.15567;-52.03042
COMUNIDADE LUTERANA EVANGÉLICA EVARISTO I;82;-31.18703;-52.23247
COMUNIDADE SÃO JOÃO DE FORTALEZA;65;-31.33989;-52.13506
COMUNIDADE SÃO MATEUS;105;-31.15864;-52.17114
ESCOLA DE ENSINO FUNDAMENTAL NOSSA SENHORA ESTRELA DO MAR;86;-31.36605;-51.97657
ESCOLA ESTADUAL DE ENSINO FUNDAMENTAL MONSENHOR GAUTSCH;442;-31.36891;-51.96913
ESCOLA ESTADUAL DE ENSINO FUNDAMENTAL PE JOSE HERBST;335;-31.36521;-51.97755
ESCOLA ESTADUAL DE ENSINO FUNDAMENTAL VICENTE DI TOLLA;202;-31.37216;-51.99334
ESCOLA ESTADUAL DE ENSINO MÉDIO CRUZEIRO DO SUL;470;-31.36684;-51.98271
ESCOLA ESTADUAL DE ENSINO MÉDIO PROFESSOR RODOLFO BERSCH;436;-31.25238;-52.21003
ESCOLA MUNICIPAL DE EDUCACAO INFANTIL TIA MARGARIDA;173;-31.36899;-51.98832
ESCOLA MUNICIPAL DE EDUCAÇÃO INFANTIL RECANTO FELIZ;120;-31.37353;-51.96752
ESCOLA MUNICIPAL DE ENSINO FUND. RODOLFO KRUGER;264;-31.18287;-52.3552
ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL CASTRO ALVES;224;-31.34535;-51.99324
ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL FRANCISCO FROMMING;71;-31.33031;-52.27592
ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL GERMANO HÜBNER;121;-31.12758;-52.17736
ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL LUIZ ANTONIO DE ABREU MORAES;173;-31.36407;-51.9883
ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL MARTINHO LUTERO;224;-31.24985;-52.39153
ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL PE MAXIMILIANO STRAUSS;241;-31.28331;-52.08427
ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL PROF. ARMANDO DAS NEVES;46;-31.36977;-51.96238
ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL PROF. ISOLINA PASSOS;185;-31.3465;-52.00274
ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL PROFA. MARINA VARGAS;72;-31.35574;-51.98781
ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL SÃO JOÃO;83;-31.29782;-52.15477
ESCOLA MUNICIPAL SADI HAMMES;185;-31.23805;-52.00184
FURG CAMPUS SÃO LOURENÇO DO SUL;156;-31.36739;-51.98305
INSTITUTO ESTADUAL DE EDUCAÇÃO DR WALTER THOFERHN;577;-31.36305;-51.97301
PARÓQUIA SÃO LOURENÇO;190;-31.36585;-51.97779
SALÃO DA COMUNIDADE CRISTO CAMINHO VERDADE E VIDA;65;-31.10259;-52.27318
SALÃO DA COMUNIDADE EVANGÉLICA DE SANTANA;172;-31.36192;-52.20695
SALÃO DA COMUNIDADE SÃO LUCAS;93;-31.35869;-52.28231
SALÃO DA PARÓQUIA BARRANCOS;201;-31.1447;-52.24797
