Local;Votos;Latitude;Longitude
ANTIGO COLÉGIO SÃO JOSÉ - COLÉGIO BOM JESUS;33;-28.50146;-50.93381
C T G PORTEIRA DO RIO GRANDE;46;-28.50089;-50.92136
CLUBE GUARANI;2;-28.50599;-50.93514
ESC.MUN. SOLY GONZAGA DOS SANTOS;72;-28.50178;-50.91394
ESCOLA ESPECIAL APAE;1;-28.49684;-50.93642
ESCOLA ESTADUAL BERNARDINA RODRIGUES PADILHA;83;-28.48625;-50.93808
ESCOLA ESTADUAL DE ENSINO FUNDAMENTAL CHICO MENDES;2;-28.04662;-50.92142
ESCOLA ESTADUAL IONE CAMPOS DOS SANTOS;14;-28.50358;-50.9257
ESCOLA ESTADUAL JARDIM AMERICA;20;-28.50165;-50.95439
ESCOLA ESTADUAL N SRA DE OLIVEIRA;31;-28.50366;-50.94586
ESCOLA ESTADUAL PADRE EFREM;14;-28.5025;-50.93674
ESCOLA ESTADUAL PADRE PACÍFICO;21;-28.51038;-50.93365
ESCOLA ESTADUAL PROF JOSÉ FERNANDES DE OLIVEIRA;32;-28.51126;-50.93913
ESCOLA ESTADUAL VITORIA QUINTELLA LY;14;-28.51318;-50.9283
ESCOLA MUNICIPAL ATTILIO BENEDETTI;1;-28.35849;-51.01454
ESCOLA MUNICIPAL CECY SA BRITO;12;-28.47908;-50.9655
ESCOLA MUNICIPAL CORONEL AVELINO;42;-28.52317;-50.93132
ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL HUMBERTO FERRUCIO CAMPETI;10;-28.47163;-50.89974
ESCOLA MUNICIPAL DOM HENRIQUE GELAIN;17;-28.51775;-50.96053
ESCOLA MUNICIPAL DUQUE DE CAXIAS;46;-28.51794;-50.94673
ESCOLA MUNICIPAL FIRMINO CAMARGO BRANCO;1;-28.27941;-50.79961
ESCOLA MUNICIPAL FLORINDO CAON;4;-28.23702;-50.93555
ESCOLA MUNICIPAL GENERAL OSORIO;24;-28.4868;-50.96203
ESCOLA MUNICIPAL INACIO DE SOUZA PIRES;7;-28.47963;-50.92968
ESCOLA MUNICIPAL IRINEU LUIZ CHILANTI;13;-28.49378;-50.94073
ESCOLA MUNICIPAL JOAO BECKER DA SILVEIRA;4;-28.00147;-50.96996
ESCOLA MUNICIPAL JUVENTINA MORENA DE OLIVEIRA;78;-28.51449;-50.90909
ESCOLA MUNICIPAL NABOR MOURA DE AZEVEDO;108;-28.49305;-50.92829
ESCOLA MUNICIPAL PEDRO ÁLVARES CABRAL;51;-28.51154;-50.94965
ESCOLA ROMEU ANTONIO BIAZUS (ANTIGO COLÉGIO SÃO FRANCISCO);32;-28.50856;-50.93885
INSTITUTO ESTADUAL DE EDUCAÇÃO IRMÃO GETULIO;23;-28.50337;-50.93112
JOCKEY CLUB;18;-28.51465;-50.95939
PRESÍDIO ESTADUAL DE VACARIA;0;-28.49984;-50.94233
SALAO COMUNITARIO N. S. DE FATIMA;1;-27.98055;-50.9746
SALAO COMUNITARIO SANTA RITA DE CASSIA;14;-28.5151;-50.95489
SALAO PAROQUIAL N. SRA. DAS GRAÇAS;2;-28.1286;-50.91585
SALÃO COMUNITÁRIO N. SRA. IMACULADA CONCEIÇÃO;0;-28.16575;-50.83661
SALÃO PAROQUIAL NA SRA DO ROSÁRIO;2;-28.65688;-50.93528
SALÃO PAROQUIAL VILA HAIDEE;6;-28.47951;-50.96474
SOCIEDADE RECREATIVA UNIÃO DA GLÓRIA;16;-28.50085;-50.9481
SOCIEDADE UNIÃO OPERÁRIA DE MÚTUO SOCORRO;8;-28.50244;-50.93584
