Local;Votos;Latitude;Longitude
ENCRUZILHADA DO SUL;396;-30.53954;-52.52235
MORRO REDONDO;321;-31.59143;-52.64846
BARRA DO RIBEIRO;296;-30.30027;-51.30477
RIO GRANDE;286;-32.04078;-52.10169
PEDRAS ALTAS;267;-31.73399;-53.58941
HERVAL;240;-32.02885;-53.3936
NOVO HAMBURGO;234;-29.68348;-51.13375
CANDIOTA;209;-31.56043;-53.67592
TAPES;195;-30.67329;-51.40527
RIO PARDO;188;-29.98441;-52.37604
MOSTARDAS;163;-31.10729;-50.91625
CHUÍ;142;-33.68949;-53.44853
BARRA DO QUARAÍ;128;-30.209;-57.5531
SÃO LEOPOLDO;125;-29.76074;-51.14801
PIRATINI;121;-31.44831;-53.10431
ARAMBARÉ;120;-30.91107;-51.50139
SAPUCAIA DO SUL;117;-29.82364;-51.14673
CERRITO;111;-31.85426;-52.8159
PINHEIRO MACHADO;104;-31.57958;-53.38175
SÃO JERÔNIMO;103;-29.95847;-51.72342
TAVARES;103;-31.28927;-51.09104
SANTO ANTÔNIO DO PALMA;101;-28.49643;-52.02511
SERTÃO SANTANA;91;-30.46118;-51.60372
SAPIRANGA;89;-29.63455;-51.0024
SENTINELA DO SUL;87;-30.61118;-51.57873
SANTANA DA BOA VISTA;86;-30.87187;-53.11434
GRAVATAÍ;86;-29.93988;-50.99475
ARROIO DO PADRE;79;-31.44286;-52.42294
BALNEÁRIO PINHAL;73;-30.24828;-50.23458
TRAMANDAÍ;70;-29.9838;-50.1343
GUAÍBA;65;-30.11658;-51.32161
VIAMÃO;61;-30.08277;-51.03409
GARRUCHOS;58;-28.19069;-55.63698
CENTENÁRIO;54;-27.76204;-52.00076
MONTE ALEGRE DOS CAMPOS;51;-28.68344;-50.78234
IMBÉ;51;-29.96235;-50.13323
ALVORADA;46;-29.9999;-51.07848
CAMPO BOM;45;-29.67478;-51.06131
ITATIBA DO SUL;44;-27.38692;-52.45585
CAXIAS DO SUL;43;-29.17401;-51.1812
CACHOEIRINHA;41;-29.94574;-51.09897
SANTA CRUZ DO SUL;40;-29.72406;-52.43582
CAPÃO DA CANOA;40;-29.75796;-50.01733
ITAQUI;39;-29.12822;-56.55527
ELDORADO DO SUL;32;-30.00028;-51.31189
CAPIVARI DO SUL;32;-30.14698;-50.51333
URUGUAIANA;31;-29.7584;-57.08633
XANGRI-LÁ;29;-29.8028;-50.04123
BARÃO DO TRIUNFO;27;-30.39026;-51.73585
BAGÉ;27;-31.33325;-54.10653
SANTA MARIA;23;-29.68949;-53.79234
PASSO FUNDO;22;-28.26226;-52.41027
OSÓRIO;20;-29.89223;-50.26203
MUITOS CAPÕES;19;-28.31553;-51.18307
MAQUINÉ;19;-29.67673;-50.20651
TAQUARA;17;-29.65166;-50.77636
RESTINGA SÊCA;17;-29.821;-53.37413
TORRES;15;-29.33839;-49.72822
CIDREIRA;15;-30.18427;-50.20696
ANTÔNIO PRADO;14;-28.85704;-51.28213
MARCELINO RAMOS;14;-27.46535;-51.90779
HULHA NEGRA;14;-31.40664;-53.8708
SANANDUVA;13;-27.95065;-51.81467
CANDELÁRIA;13;-29.66908;-52.78827
DOIS IRMÃOS;13;-29.58834;-51.08772
SÃO SEBASTIÃO DO CAÍ;13;-29.59105;-51.37609
PARAÍSO DO SUL;13;-29.73131;-53.17907
VALE DO SOL;13;-29.60445;-52.68684
SANT'ANA DO LIVRAMENTO;12;-30.88808;-55.5264
ALEGRETE;12;-29.78376;-55.79365
LAGOÃO;12;-29.22457;-52.77305
MONTENEGRO;11;-29.68169;-51.46804
PORTO XAVIER;11;-27.90673;-55.13861
ARATIBA;10;-27.39583;-52.30032
VERA CRUZ;10;-29.71527;-52.50164
FARROUPILHA;10;-29.22382;-51.3456
GAURAMA;10;-27.5867;-52.0912
ESMERALDA;10;-28.05376;-51.19222
CRUZ ALTA;9;-28.64401;-53.60646
PANTANO GRANDE;9;-30.19207;-52.37237
CANELA;9;-29.36376;-50.81141
MARAU;9;-28.44766;-52.19951
BUTIÁ;9;-30.11807;-51.96159
VENÂNCIO AIRES;9;-29.61007;-52.19288
CARAZINHO;8;-28.29543;-52.7976
TRÊS CACHOEIRAS;8;-29.45111;-49.92005
SOBRADINHO;8;-29.41577;-53.02857
AGUDO;8;-29.64448;-53.25258
SÃO GABRIEL;8;-30.33438;-54.32176
LAJEADO;7;-29.46063;-51.9679
BOM JESUS;7;-28.67225;-50.43505
PASSO DO SOBRADO;7;-29.748;-52.275
IPÊ;7;-28.81824;-51.28013
MARIANA PIMENTEL;6;-30.35334;-51.58399
PAROBÉ;6;-29.62702;-50.82901
IGREJINHA;6;-29.57344;-50.79249
ROSÁRIO DO SUL;6;-30.25064;-54.91687
SANTO ÂNGELO;6;-28.30018;-54.26583
FELIZ;6;-29.45482;-51.30628
MARATÁ;5;-29.54916;-51.55538
PORTO LUCENA;5;-27.85563;-55.01768
VISTA GAÚCHA;5;-27.29098;-53.70143
ARROIO DO SAL;5;-29.5501;-49.88729
ARROIO DO TIGRE;5;-29.33646;-53.09221
ACEGUÁ;5;-31.86629;-54.16415
SÃO LUIZ GONZAGA;5;-28.40813;-54.96151
JÓIA;5;-28.64714;-54.1208
ERECHIM;5;-27.63474;-52.2747
SERAFINA CORRÊA;5;-28.71145;-51.93253
SEGREDO;5;-29.3412;-52.98005
RODEIO BONITO;5;-27.47347;-53.17008
SEBERI;5;-27.48239;-53.40155
SARANDI;5;-27.94091;-52.92167
CAMPESTRE DA SERRA;5;-28.79386;-51.09584
GLORINHA;5;-29.87917;-50.78868
PORTÃO;5;-29.69462;-51.23267
GARIBALDI;5;-29.25757;-51.52308
CAÇAPAVA DO SUL;5;-30.51472;-53.48304
SANTO ANTÔNIO DA PATRULHA;5;-29.83101;-50.52367
SANTO EXPEDITO DO SUL;4;-27.90944;-51.64392
SINIMBU;4;-29.53506;-52.51958
TRÊS COROAS;4;-29.51561;-50.77909
SÃO JOSÉ DOS AUSENTES;4;-28.74884;-50.06533
SALTO DO JACUÍ;4;-29.08922;-53.21135
TERRA DE AREIA;4;-29.58495;-50.06908
TRÊS PASSOS;4;-27.45599;-53.93044
ROCA SALES;4;-29.28691;-51.87413
QUARAÍ;4;-30.37991;-56.45215
TOROPI;4;-29.47768;-54.22833
ÁGUA SANTA;4;-28.17668;-52.03473
CASCA;4;-28.56286;-51.97736
NOVA HARTZ;4;-29.58467;-50.90342
LAVRAS DO SUL;4;-30.81078;-53.89957
IVOTI;4;-29.61067;-51.16378
BOM PRINCÍPIO;4;-29.49258;-51.35501
MINAS DO LEÃO;4;-30.12881;-52.04831
CAPELA DE SANTANA;4;-29.68042;-51.31844
HORIZONTINA;4;-27.62823;-54.30597
FLORES DA CUNHA;4;-29.02936;-51.18143
GUAPORÉ;4;-28.84796;-51.8901
NOVA SANTA RITA;4;-29.85612;-51.27412
GETÚLIO VARGAS;4;-29.82816;-51.16703
FREDERICO WESTPHALEN;4;-27.35871;-53.39938
HERVEIRAS;3;-29.45412;-52.6509
SÃO FRANCISCO DE PAULA;3;-29.4475;-50.58157
ESTRELA;3;-29.48492;-51.95487
BENTO GONÇALVES;3;-29.1667;-51.51698
IBARAMA;3;-29.4216;-53.13111
TUNAS;3;-29.10462;-52.95455
TRIUNFO;3;-29.9371;-51.71872
CRISTAL DO SUL;3;-27.45368;-53.25088
SOLEDADE;3;-28.83028;-52.51335
TUPANCIRETÃ;3;-29.08119;-53.83674
TRÊS DE MAIO;3;-27.77749;-54.23409
CHARQUEADAS;3;-29.95917;-51.62876
JÚLIO DE CASTILHOS;3;-29.22935;-53.6827
PANAMBI;3;-28.29067;-53.49915
MACHADINHO;3;-27.56602;-51.66798
TAPEJARA;3;-28.06492;-52.00597
NOVO CABRAIS;3;-29.73529;-52.95015
TEUTÔNIA;3;-29.47154;-51.80867
PROGRESSO;3;-29.24281;-52.31033
SÃO MARCOS;3;-28.96998;-51.0665
CARAÁ;3;-29.79232;-50.43522
SÃO BORJA;2;-28.65995;-56.00657
CARLOS BARBOSA;2;-29.29535;-51.50124
ESTÂNCIA VELHA;2;-29.65372;-51.17376
ESTRELA VELHA;2;-29.17815;-53.15973
CAIÇARA;2;-27.27921;-53.42746
SÃO MIGUEL DAS MISSÕES;2;-28.54574;-54.55154
DOM PEDRO DE ALCÂNTARA;2;-29.36994;-49.84902
DAVID CANABARRO;2;-28.38765;-51.84753
SERTÃO;2;-27.98601;-52.25733
CACEQUI;2;-29.88025;-54.8265
CIRÍACO;2;-28.34333;-51.8757
CARLOS GOMES;2;-27.71606;-51.91219
JAQUIRANA;2;-28.88392;-50.35885
SAGRADA FAMÍLIA;2;-27.70858;-53.13707
MIRAGUAÍ;2;-27.49539;-53.686
REDENTORA;2;-27.66165;-53.64048
BARROS CASSAL;2;-29.09241;-52.58317
BARÃO DE COTEGIPE;2;-27.62133;-52.37701
VILA LÂNGARO;2;-28.10748;-52.1442
IBIRUBÁ;2;-28.63078;-53.09557
NOVA PETRÓPOLIS;2;-29.3766;-51.11189
SANTA MARGARIDA DO SUL;2;-30.33973;-54.08154
TUPANDI;2;-29.47631;-51.42143
PASSA SETE;2;-29.45136;-52.96372
FORQUETINHA;2;-29.38169;-52.10588
NÃO-ME-TOQUE;2;-28.46003;-52.82085
VERANÓPOLIS;2;-28.93509;-51.54978
ALMIRANTE TAMANDARÉ DO SUL;1;-28.11347;-52.91384
AMETISTA DO SUL;1;-27.36175;-53.18386
VISTA ALEGRE;1;-27.37029;-53.49321
TAQUARI;1;-29.79555;-51.8666
TENENTE PORTELA;1;-27.3718;-53.75843
VILA NOVA DO SUL;1;-30.34237;-53.88562
BOA VISTA DO BURICÁ;1;-27.66864;-54.11151
ARROIO DO MEIO;1;-29.40271;-51.94307
ARROIO DOS RATOS;1;-30.08966;-51.72723
BROCHIER;1;-29.55608;-51.5931
TRÊS PALMEIRAS;1;-27.61441;-52.84376
BARRACÃO;1;-27.67424;-51.45849
BOQUEIRÃO DO LEÃO;1;-29.30499;-52.43217
VANINI;1;-28.47635;-51.8459
BENJAMIN CONSTANT DO SUL;1;-27.51004;-52.60096
BOA VISTA DO SUL;1;-29.37093;-51.66386
